Lab ID,Locator,Depth(m),Collect Date,Preparation Date,Analysis Date,Parameter Name,Method,Result,Units,Qualifier,DF,MDL,RDL,Textvalue
L84161-11,A617,,7/9/2024 10:29,7/9/2024 15:15,7/10/2024 13:30,Escherichia coli,SM 9213D3B 23RD,470,CFU/100ml,,1,,,
L84161-11,A617,,7/9/2024 10:29,7/10/2024 8:08,7/10/2024 11:55,Ammonia Nitrogen,KEROUEL & AMINOT 1997,0.0156,mg/L,,1,0.002,0.01,
L84161-11,A617,,7/9/2024 10:29,7/10/2024 8:08,7/10/2024 11:55,Nitrite + Nitrate Nitrogen,SM4500-NO3-F,0.461,mg/L,,1,0.01,0.04,
L84161-11,A617,,7/9/2024 10:29,7/10/2024 8:08,7/10/2024 11:55,Orthophosphate Phosphorus,SM4500-P-F,0.0551,mg/L,,1,0.0005,0.002,
L84161-11,A617,,7/9/2024 10:29,7/10/2024 16:54,7/10/2024 16:54,Total Alkalinity,SM2320-B,59.7,mg CaCO3/L,,1,1,5,
L84161-11,A617,,7/9/2024 10:29,7/11/2024 11:47,7/19/2024 9:52,Total Nitrogen,SM4500-N-C,0.77,mg/L,,1,0.05,0.2,
L84161-11,A617,,7/9/2024 10:29,7/11/2024 11:47,7/31/2024 12:33,Total Phosphorus,"SM4500-P-B,F",0.0885,mg/L,,1,0.005,0.02,
L84161-11,A617,,7/9/2024 10:29,7/11/2024 10:50,7/12/2024 17:10,Total Suspended Solids,SM2540-D,0.99,mg/L,<RDL,1.099,0.55,2.2,
L84161-11,A617,,7/9/2024 10:29,7/11/2024 13:24,7/11/2024 13:24,Turbidity,SM2130-B,0.75,NTU,<RDL,1,0.2,1,
L84161-11,A617,,7/9/2024 10:29,7/12/2024 7:59,7/12/2024 11:36,Silica,WHITLEDGE 1981,27.9,mg/L,,1,0.2,1,
L84161-11,A617,,7/9/2024 10:29,7/9/2024 10:29,7/9/2024 10:29,"Conductivity, Field",KCEL SOP# 245,184.3,umhos/cm,,1,0.5,10,
L84161-11,A617,,7/9/2024 10:29,7/9/2024 10:29,7/9/2024 10:29,"Dissolved Oxygen, Field",KCEL SOP# 245,9.13,mg/L,,1,0.5,1,
L84161-11,A617,,7/9/2024 10:29,,,Field Personnel,NONE,,none,,1,,,SH
L84161-11,A617,,7/9/2024 10:29,7/9/2024 10:29,7/9/2024 10:29,"Sample Temperature, Field",KCEL SOP# 245,16.951,deg C,,1,,,
L84161-11,A617,,7/9/2024 10:29,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18100"
L84161-11,A617,,7/9/2024 10:29,7/9/2024 10:29,7/9/2024 10:29,"pH, Field",KCEL SOP# 245,7.81,pH,,1,,,
L84195-1,'0442,,7/10/2024 12:06,7/16/2024 11:03,7/17/2024 8:31,"Calcium, Total, ICP-MS",EPA 200.8 (MOD),49300,ug/L,,1,50,50,ISO 44  [ He ]
L84195-1,'0442,,7/10/2024 12:06,7/16/2024 11:03,7/17/2024 11:07,"Hardness, Calc",EPA 200.8 (MOD)*SM2340B,239,mg CaCO3/L,,1,0.331,0.331,
L84195-1,'0442,,7/10/2024 12:06,7/16/2024 11:03,7/17/2024 8:31,"Magnesium, Total, ICP-MS",EPA 200.8 (MOD),28000,ug/L,,1,50,50,ISO 24  [ He ]
L84195-1,'0442,,7/10/2024 12:06,7/17/2024 8:32,7/24/2024 8:41,"Copper, Dissolved, ICP-MS",EPA 200.8 (MOD),0.42,ug/L,<RDL,1,0.2,2,ISO 63  [ He ]
L84195-1,'0442,,7/10/2024 12:06,7/17/2024 8:32,7/24/2024 8:41,"Zinc, Dissolved, ICP-MS",EPA 200.8 (MOD),,ug/L,<MDL,1,0.5,2.5,ISO 66  [ He ]
L84195-1,'0442,,7/10/2024 12:06,,,Field Personnel,NONE,,none,,1,,,MM
L84195-1,'0442,,7/10/2024 12:06,,,Sampling Method,NONE,,none,,1,,,"11011, 18200"
L84195-2,'0444,,7/10/2024 12:46,7/16/2024 11:03,7/17/2024 8:42,"Calcium, Total, ICP-MS",EPA 200.8 (MOD),26400,ug/L,,1,50,50,ISO 44  [ He ]
L84195-2,'0444,,7/10/2024 12:46,7/16/2024 11:03,7/17/2024 11:07,"Hardness, Calc",EPA 200.8 (MOD)*SM2340B,125,mg CaCO3/L,,1,0.331,0.331,
L84195-2,'0444,,7/10/2024 12:46,7/16/2024 11:03,7/17/2024 8:42,"Magnesium, Total, ICP-MS",EPA 200.8 (MOD),14300,ug/L,,1,50,50,ISO 24  [ He ]
L84195-2,'0444,,7/10/2024 12:46,7/17/2024 8:32,7/24/2024 8:44,"Copper, Dissolved, ICP-MS",EPA 200.8 (MOD),0.46,ug/L,<RDL,1,0.2,2,ISO 63  [ He ]
L84195-2,'0444,,7/10/2024 12:46,7/17/2024 8:32,7/24/2024 8:44,"Zinc, Dissolved, ICP-MS",EPA 200.8 (MOD),2.82,ug/L,,1,0.5,2.5,ISO 66  [ He ]
L84195-2,'0444,,7/10/2024 12:46,,,Field Personnel,NONE,,none,,1,,,MM
L84195-2,'0444,,7/10/2024 12:46,,,Sampling Method,NONE,,none,,1,,,"11011, 18200"
L84195-3,B444,,7/10/2024 13:14,7/10/2024 14:55,7/11/2024 12:55,Escherichia coli,SM 9213D3B 23RD,240,CFU/100ml,,1,,,
L84195-3,B444,,7/10/2024 13:14,7/11/2024 11:47,7/19/2024 10:34,Total Nitrogen,SM4500-N-C,0.781,mg/L,,1,0.05,0.2,
L84195-3,B444,,7/10/2024 13:14,7/11/2024 11:47,7/31/2024 13:16,Total Phosphorus,"SM4500-P-B,F",0.0848,mg/L,,1,0.005,0.02,
L84195-3,B444,,7/10/2024 13:14,7/11/2024 13:42,7/11/2024 13:42,Turbidity,SM2130-B,2.21,NTU,,1,0.2,1,
L84195-3,B444,,7/10/2024 13:14,7/11/2024 17:11,7/12/2024 17:26,Total Suspended Solids,SM2540-D,2.14,mg/L,,1.02,0.51,2.04,
L84195-3,B444,,7/10/2024 13:14,7/16/2024 11:03,7/17/2024 8:46,"Calcium, Total, ICP-MS",EPA 200.8 (MOD),22700,ug/L,,1,50,50,ISO 44  [ He ]
L84195-3,B444,,7/10/2024 13:14,7/16/2024 11:03,7/17/2024 11:07,"Hardness, Calc",EPA 200.8 (MOD)*SM2340B,118,mg CaCO3/L,,1,0.331,0.331,
L84195-3,B444,,7/10/2024 13:14,7/16/2024 11:03,7/17/2024 8:46,"Magnesium, Total, ICP-MS",EPA 200.8 (MOD),14800,ug/L,,1,50,50,ISO 24  [ He ]
L84195-3,B444,,7/10/2024 13:14,7/17/2024 8:32,7/24/2024 8:56,"Copper, Dissolved, ICP-MS",EPA 200.8 (MOD),1.2,ug/L,<RDL,1,0.2,2,ISO 63  [ He ]
L84195-3,B444,,7/10/2024 13:14,7/17/2024 8:32,7/24/2024 8:56,"Zinc, Dissolved, ICP-MS",EPA 200.8 (MOD),4.22,ug/L,,1,0.5,2.5,ISO 66  [ He ]
L84195-3,B444,,7/10/2024 13:14,7/10/2024 13:14,7/10/2024 13:14,"Conductivity, Field",KCEL SOP# 245,268.7,umhos/cm,,1,0.5,10,
L84195-3,B444,,7/10/2024 13:14,7/10/2024 13:14,7/10/2024 13:14,"Dissolved Oxygen, Field",KCEL SOP# 245,8.94,mg/L,,1,0.5,1,
L84195-3,B444,,7/10/2024 13:14,,,Field Personnel,NONE,,none,,1,,,MM
L84195-3,B444,,7/10/2024 13:14,7/10/2024 13:14,7/10/2024 13:14,"Sample Temperature, Field",KCEL SOP# 245,18.75,deg C,,1,,,
L84195-3,B444,,7/10/2024 13:14,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18200"
L84195-3,B444,,7/10/2024 13:14,7/10/2024 13:14,7/10/2024 13:14,"pH, Field",KCEL SOP# 245,8,pH,,1,,,
L84195-4,A617,,7/9/2024 10:39,7/16/2024 11:03,7/17/2024 8:50,"Calcium, Total, ICP-MS",EPA 200.8 (MOD),17900,ug/L,,1,50,50,ISO 44  [ He ]
L84195-4,A617,,7/9/2024 10:39,7/16/2024 11:03,7/17/2024 11:07,"Hardness, Calc",EPA 200.8 (MOD)*SM2340B,65.7,mg CaCO3/L,,1,0.331,0.331,
L84195-4,A617,,7/9/2024 10:39,7/16/2024 11:03,7/17/2024 8:50,"Magnesium, Total, ICP-MS",EPA 200.8 (MOD),5080,ug/L,,1,50,50,ISO 24  [ He ]
L84195-4,A617,,7/9/2024 10:39,7/17/2024 8:32,7/24/2024 9:00,"Copper, Dissolved, ICP-MS",EPA 200.8 (MOD),2,ug/L,<RDL,1,0.2,2,ISO 63  [ He ]
L84195-4,A617,,7/9/2024 10:39,7/17/2024 8:32,7/24/2024 9:00,"Zinc, Dissolved, ICP-MS",EPA 200.8 (MOD),2.4,ug/L,<RDL,1,0.5,2.5,ISO 66  [ He ]
L84195-4,A617,,7/9/2024 10:39,,,Field Personnel,NONE,,none,,1,,,SH
L84195-4,A617,,7/9/2024 10:39,,,Sampling Method,NONE,,none,,1,,,"11011, 18200"
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 14:55,7/11/2024 12:55,Escherichia coli,SM 9213D3B 23RD,100,CFU/100ml,,1,,,
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 16:00,7/11/2024 14:00,Fecal Coliform,SM 9222D 23RD,79,CFU/100ml,"H,TA",1,,,(See DAF)
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 11:47,7/19/2024 10:40,Total Nitrogen,SM4500-N-C,0.452,mg/L,,1,0.05,0.2,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 11:47,7/31/2024 13:23,Total Phosphorus,"SM4500-P-B,F",0.0648,mg/L,,1,0.005,0.02,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Ammonia Nitrogen,KEROUEL & AMINOT 1997,0.0196,mg/L,,1,0.002,0.01,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Nitrite + Nitrate Nitrogen,SM4500-NO3-F,0.192,mg/L,,1,0.01,0.04,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 8:13,7/11/2024 11:44,Orthophosphate Phosphorus,SM4500-P-F,0.0187,mg/L,,1,0.0005,0.002,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 13:46,7/11/2024 13:46,Turbidity,SM2130-B,10.6,NTU,,1,0.2,1,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 10:42,7/11/2024 10:42,Total Alkalinity,SM2320-B,240,mg CaCO3/L,,1,1,5,
L84196-3,'0442,,7/10/2024 12:06,7/11/2024 17:11,7/12/2024 17:27,Total Suspended Solids,SM2540-D,33.4,mg/L,,1.02,0.51,2.04,
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Conductivity, Field",KCEL SOP# 245,645,umhos/cm,,1,0.5,10,
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Dissolved Oxygen, Field",KCEL SOP# 245,9.81,mg/L,,1,0.5,1,
L84196-3,'0442,,7/10/2024 12:06,,,Field Personnel,NONE,,none,,1,,,MM
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"Sample Temperature, Field",KCEL SOP# 245,19.058,deg C,,1,,,
L84196-3,'0442,,7/10/2024 12:06,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18100"
L84196-3,'0442,,7/10/2024 12:06,7/10/2024 12:06,7/10/2024 12:06,"pH, Field",KCEL SOP# 245,8.2,pH,,1,,,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 14:55,7/11/2024 12:55,Escherichia coli,SM 9213D3B 23RD,78,CFU/100ml,,1,,,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 11:47,7/19/2024 10:42,Total Nitrogen,SM4500-N-C,0.405,mg/L,,1,0.05,0.2,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 11:47,7/31/2024 13:27,Total Phosphorus,"SM4500-P-B,F",0.151,mg/L,,1,0.005,0.02,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Ammonia Nitrogen,KEROUEL & AMINOT 1997,0.0175,mg/L,,1,0.002,0.01,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Nitrite + Nitrate Nitrogen,SM4500-NO3-F,0.019,mg/L,<RDL,1,0.01,0.04,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 8:13,7/11/2024 11:56,Orthophosphate Phosphorus,SM4500-P-F,0.0635,mg/L,,1,0.0005,0.002,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 13:48,7/11/2024 13:48,Turbidity,SM2130-B,5.99,NTU,,1,0.2,1,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 10:51,7/11/2024 10:51,Total Alkalinity,SM2320-B,117,mg CaCO3/L,,1,1,5,
L84196-4,'0444,,7/10/2024 12:46,7/11/2024 17:11,7/12/2024 17:28,Total Suspended Solids,SM2540-D,4.8,mg/L,,1.02,0.51,2.04,
L84196-4,'0444,,7/10/2024 12:46,7/12/2024 7:59,7/12/2024 11:57,Silica,WHITLEDGE 1981,27.5,mg/L,,1,0.2,1,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Conductivity, Field",KCEL SOP# 245,286.9,umhos/cm,,1,0.5,10,
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Dissolved Oxygen, Field",KCEL SOP# 245,4.88,mg/L,,1,0.5,1,
L84196-4,'0444,,7/10/2024 12:46,,,Field Personnel,NONE,,none,,1,,,MM
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"Sample Temperature, Field",KCEL SOP# 245,20.108,deg C,,1,,,
L84196-4,'0444,,7/10/2024 12:46,,,Sampling Method,NONE,,none,,1,,,"11011, 60301, 18100"
L84196-4,'0444,,7/10/2024 12:46,7/10/2024 12:46,7/10/2024 12:46,"pH, Field",KCEL SOP# 245,7.27,pH,,1,,,
